"id","file_id","dial_a","dial_b","start_time","duration","service_id","hplmn","vplmn","external_charges","rated_flag","rated_service_id","cost","bill_id","rejection_reason","usage_type"
"20189","13","201000000001","201090000000","2026-04-20 09:33:03","305","1","EGYVO",,"0.00","true",,"0.51","550",,
"20190","13","201000000001","201090000000","2026-04-17 20:37:58","194","1","EGYVO",,"0.00","true",,"0.32","550",,
"20191","13","201000000001","201090000000","2026-04-13 18:32:05","43","1","EGYVO",,"0.00","true",,"0.07","550",,
"20192","13","201000000001","201090000000","2026-04-01 06:59:04","470","1","EGYVO",,"0.00","true",,"0.78","550",,
"20193","13","201000000001","201090000000","2026-04-13 21:03:26","485","1","EGYVO",,"0.00","true",,"0.81","550",,
"20194","13","201000000001","201090000000","2026-04-07 21:34:57","285","1","EGYVO",,"0.00","true",,"0.48","550",,
"20195","13","201000000001","201090000000","2026-04-19 13:32:21","133","1","EGYVO",,"0.00","true",,"0.22","550",,
"20196","13","201000000001","201090000000","2026-04-27 10:12:21","98","1","EGYVO",,"0.00","true",,"0.16","550",,
"20197","13","201000000001","201090000000","2026-04-05 18:27:08","563","1","EGYVO",,"0.00","true",,"0.94","550",,
"20198","13","201000000001","201090000000","2026-04-01 13:15:47","335","1","EGYVO",,"0.00","true",,"0.56","550",,
"20199","13","201000000001","internet","2026-04-14 23:47:36","182710943","2","EGYVO",,"0.00","true",,"0.01","550",,
"20200","13","201000000001","internet","2026-04-17 15:12:08","326330067","2","EGYVO",,"0.00","true",,"0.02","550",,
"20201","13","201000000001","internet","2026-04-22 16:33:47","198988187","2","EGYVO",,"0.00","true",,"0.01","550",,
"20202","13","201000000001","internet","2026-04-25 18:08:05","69098772","2","EGYVO",,"0.00","true",,"0.00","550",,
"20203","13","201000000001","internet","2026-04-20 09:49:38","308143791","2","EGYVO",,"0.00","true",,"0.01","550",,
"20204","13","201000000001","internet","2026-04-04 10:40:16","294543154","2","EGYVO",,"0.00","true",,"0.01","550",,
"20205","13","201000000001","internet","2026-04-28 15:29:00","361347187","2","EGYVO",,"0.00","true",,"0.02","550",,
"20206","13","201000000001","internet","2026-04-11 11:47:24","212256297","2","EGYVO",,"0.00","true",,"0.01","550",,
"20207","13","201000000001","internet","2026-04-13 07:24:02","81336410","2","EGYVO",,"0.00","true",,"0.00","550",,
"20208","13","201000000001","internet","2026-04-10 02:00:15","310764803","2","EGYVO",,"0.00","true",,"0.01","550",,
"20209","13","201000000001","internet","2026-04-04 11:16:43","183976052","2","EGYVO",,"0.00","true",,"0.01","550",,
"20210","13","201000000001","internet","2026-04-05 07:38:11","111689729","2","EGYVO",,"0.00","true",,"0.01","550",,
"20211","13","201000000001","internet","2026-04-08 22:32:59","373805274","2","EGYVO",,"0.00","true",,"0.02","550",,
"20212","13","201000000001","internet","2026-04-28 14:03:57","387241848","2","EGYVO",,"0.00","true",,"0.02","550",,
"20213","13","201000000001","internet","2026-04-04 17:23:24","110854645","2","EGYVO",,"0.00","true",,"0.01","550",,
"20214","13","201000000001","internet","2026-04-02 00:11:25","485090759","2","EGYVO",,"0.00","true",,"0.02","550",,
"20215","13","201000000001","201090000000","2026-04-05 15:06:25","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20216","13","201000000001","201090000000","2026-04-10 21:42:30","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20217","13","201000000001","201090000000","2026-04-28 19:11:10","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20218","13","201000000001","201090000000","2026-04-26 12:21:53","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20219","13","201000000001","201090000000","2026-04-17 09:17:35","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20220","13","201000000001","201090000000","2026-04-20 19:59:14","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20221","13","201000000001","201090000000","2026-04-16 22:26:15","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20222","13","201000000001","201090000000","2026-04-09 21:17:24","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20223","13","201000000001","201090000000","2026-04-05 00:35:57","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20224","13","201000000001","201090000000","2026-04-20 15:04:32","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20225","13","201000000001","201090000000","2026-04-19 10:28:04","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20226","13","201000000001","201090000000","2026-04-25 07:42:01","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20227","13","201000000001","201090000000","2026-04-08 14:53:06","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20228","13","201000000001","201090000000","2026-04-01 04:30:43","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20229","13","201000000001","201090000000","2026-04-07 10:17:55","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20230","13","201000000001","201090000000","2026-04-03 18:59:58","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20231","13","201000000001","201090000000","2026-04-20 06:03:45","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20232","13","201000000001","201090000000","2026-04-14 21:58:59","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20233","13","201000000001","201090000000","2026-04-02 10:16:18","1","3","EGYVO",,"0.00","true",,"0.02","550",,
"20234","13","201000000001","201080000000","2026-04-20 16:58:38","120","1","EGYVO","VODAFONE","0.00","true",,"24.00","550",,
"20235","13","201000000002","201090000000","2026-04-28 07:21:23","154","1","EGYVO",,"0.00","true",,"0.51","551",,
"20236","13","201000000002","201090000000","2026-04-12 01:24:41","369","1","EGYVO",,"0.00","true",,"1.23","551",,
"20237","13","201000000002","201090000000","2026-04-07 10:49:13","270","1","EGYVO",,"0.00","true",,"0.90","551",,
"20238","13","201000000002","201090000000","2026-04-08 01:43:55","81","1","EGYVO",,"0.00","true",,"0.27","551",,
